run_id,track,task,condition,run_num,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_input_tokens,effective_input_tokens,num_turns,num_iterations,duration_ms,duration_api_ms,cost_usd,model,stop_reason,result_length,session_id,is_error,tool_calls,total_tool_calls,used_agent,wall_clock_sec,file,level,num_chunks,ordering,chunks_present
async-refactor_baseline_001,A,async-refactor,baseline,1,109,514,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1711,,False,{},0,False,7.84,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_001.json,,,,
async-refactor_baseline_002,A,async-refactor,baseline,2,109,570,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1881,,False,{},0,False,7.99,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_002.json,,,,
async-refactor_baseline_003,A,async-refactor,baseline,3,109,582,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1901,,False,{},0,False,8.69,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_003.json,,,,
async-refactor_baseline_004,A,async-refactor,baseline,4,109,510,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1664,,False,{},0,False,7.83,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_004.json,,,,
async-refactor_baseline_005,A,async-refactor,baseline,5,109,611,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1975,,False,{},0,False,10.58,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_005.json,,,,
async-refactor_baseline_006,A,async-refactor,baseline,6,109,514,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1711,,False,{},0,False,13.59,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_006.json,,,,
async-refactor_baseline_007,A,async-refactor,baseline,7,109,684,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,2209,,False,{},0,False,15.15,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_007.json,,,,
async-refactor_baseline_008,A,async-refactor,baseline,8,109,567,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1856,,False,{},0,False,12.11,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_008.json,,,,
async-refactor_baseline_009,A,async-refactor,baseline,9,109,567,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1856,,False,{},0,False,9.75,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_009.json,,,,
async-refactor_baseline_010,A,async-refactor,baseline,10,109,510,0,0,109,109.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1664,,False,{},0,False,8.0,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_baseline_010.json,,,,
