run_id,track,task,condition,run_num,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_input_tokens,effective_input_tokens,num_turns,num_iterations,duration_ms,duration_api_ms,cost_usd,model,stop_reason,result_length,session_id,is_error,tool_calls,total_tool_calls,used_agent,wall_clock_sec,file
explain_rerender_baseline_001,B,explain_rerender,baseline,1,3,1019,12872,12209,25084,17313.9,1,1,17246,17126,0.0672267,claude-sonnet-4-6,end_turn,3458,c7df8451-2a90-417a-8227-c6cd5003025c,False,{},0,False,24,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_001.json
explain_rerender_baseline_002,B,explain_rerender,baseline,2,3,1202,0,25081,25084,2511.1000000000004,1,1,21142,21024,0.025563299999999997,claude-sonnet-4-6,end_turn,4046,7b204a80-36de-42ba-b8c6-5f56101ba7b1,False,{},0,False,27,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_002.json
explain_rerender_baseline_003,B,explain_rerender,baseline,3,3,1145,12872,12209,25084,17313.9,1,1,19531,19422,0.0691167,claude-sonnet-4-6,end_turn,3838,ae990868-6879-41cf-b805-a08bba7424b7,False,{},0,False,26,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_003.json
explain_rerender_baseline_004,B,explain_rerender,baseline,4,3,1074,0,25081,25084,2511.1000000000004,1,1,19193,19079,0.0236433,claude-sonnet-4-6,end_turn,3621,0daa1c0c-c9fe-4684-8fb8-e24f81a85a53,False,{},0,False,26,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_004.json
explain_rerender_baseline_005,B,explain_rerender,baseline,5,3,1216,0,25081,25084,2511.1000000000004,1,1,18765,18626,0.0257733,claude-sonnet-4-6,end_turn,4071,8b4cd417-55f0-4559-9d87-80ca49f8e271,False,{},0,False,24,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_005.json
explain_rerender_baseline_006,B,explain_rerender,baseline,6,3,954,12872,12209,25084,17313.9,1,1,17130,17031,0.0662517,claude-sonnet-4-6,end_turn,3282,eb495581-e958-47ae-99b3-87b4268a5ba9,False,{},0,False,23,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_006.json
explain_rerender_baseline_007,B,explain_rerender,baseline,7,3,1294,0,25081,25084,2511.1000000000004,1,1,27570,27453,0.026943299999999996,claude-sonnet-4-6,end_turn,4409,6baea6d9-4136-4c70-8ccf-ee3d80821f0c,False,{},0,False,33,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_007.json
explain_rerender_baseline_008,B,explain_rerender,baseline,8,3,1124,0,25081,25084,2511.1000000000004,1,1,19548,19352,0.0243933,claude-sonnet-4-6,end_turn,3752,f9dbf460-abcd-4510-be97-4f5550526fe6,False,{},0,False,26,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_008.json
explain_rerender_baseline_009,B,explain_rerender,baseline,9,3,1085,0,25081,25084,2511.1000000000004,1,1,18712,18588,0.023808299999999998,claude-sonnet-4-6,end_turn,3768,74a3fb36-558b-4834-8452-c44dbf38a1fd,False,{},0,False,25,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_009.json
explain_rerender_baseline_010,B,explain_rerender,baseline,10,3,1354,0,25081,25084,2511.1000000000004,1,1,23218,23085,0.027843299999999994,claude-sonnet-4-6,end_turn,4625,83ba3621-4ee6-4216-9da3-420eb91cdd53,False,{},0,False,30,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_baseline_010.json
explain_rerender_caveman_001,B,explain_rerender,caveman,1,3,1053,0,25081,25084,2511.1000000000004,1,1,19697,19571,0.023328299999999996,claude-sonnet-4-6,end_turn,3573,2e263008-3e1d-4649-b4fb-a3fa20bdfac3,False,{},0,False,25,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_caveman_001.json
explain_rerender_caveman_002,B,explain_rerender,caveman,2,3,1048,12872,12209,25084,17313.9,1,1,20447,20329,0.06766169999999999,claude-sonnet-4-6,end_turn,3666,7f214171-412c-4c28-8985-a2f517357c25,False,{},0,False,25,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_caveman_002.json
explain_rerender_caveman_003,B,explain_rerender,caveman,3,3,1092,0,25081,25084,2511.1000000000004,1,1,24020,23899,0.0239133,claude-sonnet-4-6,end_turn,3773,64f85b18-b0aa-4aa6-a4cd-3c9a151c5390,False,{},0,False,31,/Users/ytchou/Project/portfolio/projects/caveman-audit/data/runs/track_b/explain_rerender_caveman_003.json
